"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko00590","Metabolism","Lipid metabolism","ko00590","Arachidonic acid metabolism","5/47","25/4019",7.84841550657595e-06,0.000816235212683899,0.000735272610616063,"K01832/K18592/K01254/K17726/K17728",5
"ko02010","Environmental Information Processing","Membrane transport","ko02010","ABC transporters","5/47","41/4019",9.62451225121204e-05,0.00500474637063026,0.00450832415977827,"K11004/K05658/K05659/K18104/K02036",5
"ko04142","Cellular Processes","Transport and catabolism","ko04142","Lysosome","6/47","81/4019",0.000308800718275635,0.0107050915668887,0.00964325050053737,"K01365/K01368/K01371/K01375/K09599/K09600",6
"ko00480","Metabolism","Metabolism of other amino acids","ko00480","Glutathione metabolism","4/47","32/4019",0.000464632666699008,0.0120804493341742,0.0108821861411083,"K18592/K00681/K00797/K11204",4
"ko04976","Organismal Systems","Digestive system","ko04976","Bile secretion","4/47","39/4019",0.00100094172903776,0.0208195879639855,0.0187544871335497,"K14349/K05658/K05659/K14158",4
"ko04210","Cellular Processes","Cell growth and death","ko04210","Apoptosis","4/47","57/4019",0.00412213248644161,0.0714502964316545,0.0643631212795269,"K01365/K01368/K01371/K01375",4
"ko00561","Metabolism","Lipid metabolism","ko00561","Glycerolipid metabolism","3/47","39/4019",0.0102041063920919,0.151603866396794,0.136566235924238,"K07407/K14073/K14076",3
"ko04212","Organismal Systems","Aging","ko04212","Longevity regulating pathway - worm","3/47","41/4019",0.0117102623407104,0.152233410429235,0.137133335305687,"K08341/K14035/K11204",3
"ko04139","Cellular Processes","Transport and catabolism","ko04139","Mitophagy - yeast","2/47","17/4019",0.0162815153322182,0.18131113845354,0.16332683524661,"K17065/K08341",2
"ko04612","Organismal Systems","Immune system","ko04612","Antigen processing and presentation","2/47","18/4019",0.0181814901179841,0.18131113845354,0.16332683524661,"K01365/K01368",2
"ko05323","Human Diseases","Immune disease","ko05323","Rheumatoid arthritis","2/47","19/4019",0.0201706017304459,0.18131113845354,0.16332683524661,"K01365/K01371",2
"ko04621","Organismal Systems","Immune system","ko04621","NOD-like receptor signaling pathway","3/47","52/4019",0.0222044742177036,0.18131113845354,0.16332683524661,"K17065/K08341/K09849",3
"ko00360","Metabolism","Amino acid metabolism","ko00360","Phenylalanine metabolism","2/47","21/4019",0.0244072686379766,0.18131113845354,0.16332683524661,"K10775/K00500",2
"ko00790","Metabolism","Metabolism of cofactors and vitamins","ko00790","Folate biosynthesis","2/47","21/4019",0.0244072686379766,0.18131113845354,0.16332683524661,"K00502/K00500",2
"ko00830","Metabolism","Metabolism of cofactors and vitamins","ko00830","Retinol metabolism","2/47","30/4019",0.0473168034368582,0.32806317049555,0.295522491640729,"K07424/K00157",2
"ko00380","Metabolism","Amino acid metabolism","ko00380","Tryptophan metabolism","2/47","36/4019",0.0655848195853078,0.40122477863953,0.361427179138848,"K00502/K00157",2
"ko04668","Environmental Information Processing","Signal transduction","ko04668","TNF signaling pathway","2/47","36/4019",0.0655848195853078,0.40122477863953,0.361427179138848,"K17065/K09849",2
"ko04214","Cellular Processes","Cell growth and death","ko04214","Apoptosis - fly","2/47","41/4019",0.0823122657150224,0.464553808655036,0.418474584719618,"K03262/K17065",2
"ko00270","Metabolism","Amino acid metabolism","ko00270","Cysteine and methionine metabolism","2/47","42/4019",0.0858024326239108,0.464553808655036,0.418474584719618,"K00797/K11204",2
"ko04217","Cellular Processes","Cell growth and death","ko04217","Necroptosis","2/47","43/4019",0.0893372708951993,0.464553808655036,0.418474584719618,"K17065/K09849",2
"ko00591","Metabolism","Lipid metabolism","ko00591","Linoleic acid metabolism","1/47","10/4019",0.111096317731469,0.502348567133597,0.452520470393625,"K07424",1
"ko02024","Cellular Processes","Cellular community - prokaryotes","ko02024","Quorum sensing","1/47","10/4019",0.111096317731469,0.502348567133597,0.452520470393625,"K01218",1
"ko04977","Organismal Systems","Digestive system","ko04977","Vitamin digestion and absorption","1/47","10/4019",0.111096317731469,0.502348567133597,0.452520470393625,"K14073",1
"ko04145","Cellular Processes","Transport and catabolism","ko04145","Phagosome","2/47","53/4019",0.126832604805069,0.5496079541553,0.495092185423296,"K01365/K01368",2
"ko02020","Environmental Information Processing","Signal transduction","ko02020","Two-component system","1/47","14/4019",0.15206873277578,0.56811027771196,0.511759258262798,"K01179",1
"ko04973","Organismal Systems","Digestive system","ko04973","Carbohydrate digestion and absorption","1/47","14/4019",0.15206873277578,0.56811027771196,0.511759258262798,"K14158",1
"ko00340","Metabolism","Amino acid metabolism","ko00340","Histidine metabolism","1/47","15/4019",0.16201948672323,0.56811027771196,0.511759258262798,"K01745",1
